Date,Package,Title
5/13/22,unmarked,Models for Data from Unmarked Animals
5/12/22,BCE,Bayesian Composition Estimator: Estimating Sample (Taxonomic) Composition from Biomarker Data
5/12/22,BCT,Bayesian Context Trees for Discrete Time Series
5/12/22,CARBayes,Spatial Generalised Linear Mixed Models for Areal Unit Data
5/12/22,CARBayesdata,Data Used in the Vignettes Accompanying the CARBayes and CARBayesST Packages
5/12/22,CARBayesST,Spatio-Temporal Generalised Linear Mixed Models for Areal Unit Data
5/12/22,causalDisco,Tools for Causal Discovery on Observational Data
5/12/22,COMIX,Coarsened Mixtures of Hierarchical Skew Kernels
5/12/22,CopSens,Copula-Based Sensitivity Analysis for Observational Causal Inference
5/12/22,currentSurvival,Estimation of CCI and CLFS Functions
5/12/22,FloodFreqPlot,Flood Probability Plotting and Graphical Frequency Analysis
5/12/22,FRESHD,Fast Robust Estimation of Signals in Heterogeneous Data
5/12/22,geosptdb,"Spatio-Temporal Radial Basis Functions with Distance-Based Methods (Optimization, Prediction and Cross Validation)"
5/12/22,getwiki,R Wrapper for Wikipedia Data
5/12/22,immcp,Poly-Pharmacology Toolkit for Traditional Chinese Medicine Research
5/12/22,irtoys,A Collection of Functions Related to Item Response Theory (IRT)
5/12/22,kmodR,K-Means with Simultaneous Outlier Detection
5/12/22,lba,Latent Budget Analysis for Compositional Data
5/12/22,pbANOVA,Parametric Bootstrap for ANOVA Models
5/12/22,pheno,Auxiliary Functions for Phenological Data Analysis
5/12/22,PMA2,Penalized Multivariate Analysis
5/12/22,rdnb,R Interface to the 'Deutsche Nationalbibliothek (German National Library) API'
5/12/22,robflreg,Robust Functional Linear Regression
5/12/22,rTG,Methods to Analyse Seasonal Radial Tree Growth Data
5/12/22,rvHPDT,Calling Haplotype-Based and Variant-Based Pedigree Disequilibrium Test for Rare Variants in Pedigrees
5/12/22,sas7bdat,sas7bdat Reverse Engineering Documentation
5/12/22,subscreen,Systematic Screening of Study Data for Subgroup Effects
5/11/22,ActCR,Extract Circadian Rhythms Metrics from Actigraphy Data
5/11/22,bbmle,Tools for General Maximum Likelihood Estimation
5/11/22,BET,Binary Expansion Testing
5/11/22,BGLR,Bayesian Generalized Linear Regression
5/11/22,blavaan,Bayesian Latent Variable Analysis
5/11/22,box,"Write Reusable, Composable and Modular R Code"
5/11/22,camtrapR,Camera Trap Data Management and Preparation of Occupancy and Spatial Capture-Recapture Analyses
5/11/22,ccpsyc,Methods for Cross-Cultural Psychology
5/11/22,cncaGUI,Canonical Non-Symmetrical Correspondence Analysis in R
5/11/22,comf,Models and Equations for Human Comfort Research
5/11/22,corpustools,"Managing, Querying and Analyzing Tokenized Text"
5/11/22,filehashSQLite,Simple Key-Value Database Using SQLite
5/11/22,fitHeavyTail,Mean and Covariance Matrix Estimation under Heavy Tails
5/11/22,gamboostLSS,Boosting Methods for 'GAMLSS'
5/11/22,GetTDData,Get Data for Brazilian Bonds (Tesouro Direto)
5/11/22,influence.SEM,Case Influence in Structural Equation Models
5/11/22,latentnet,Latent Position and Cluster Models for Statistical Networks
5/11/22,LIM,Linear Inverse Model Examples and Solution Methods
5/11/22,LS2Wstat,A Multiscale Test of Spatial Stationarity for LS2W Processes
5/11/22,maskRangeR,Mask Species Geographic Ranges
5/11/22,MixGHD,"Model Based Clustering, Classification and Discriminant Analysis Using the Mixture of Generalized Hyperbolic Distributions"
5/11/22,modQR,Multiple-Output Directional Quantile Regression
5/11/22,multibiplotGUI,Multibiplot Analysis in R
5/11/22,multispatialCCM,Multispatial Convergent Cross Mapping
5/11/22,NetIndices,"Estimating Network Indices, Including Trophic Structure of Foodwebs in R"
5/11/22,OneSampleMR,One Sample Mendelian Randomization and Instrumental Variable Analyses
5/11/22,PCRedux,Quantitative Polymerase Chain Reaction (qPCR) Data Mining and Machine Learning Toolkit
5/11/22,penalizedSVM,Feature Selection SVM using Penalty Functions
5/11/22,prevR,Estimating Regional Trends of a Prevalence from a DHS and Similar Surveys
5/11/22,r2d2,Bivariate (Two-Dimensional) Confidence Region and Frequency Distribution
5/11/22,RankResponse,Ranking Responses in a Single Response Question or a Multiple Response Question
5/11/22,Rcgmin,Conjugate Gradient Minimization of Nonlinear Functions with Box Constraints
5/11/22,rnetcarto,Fast Network Modularity and Roles Computation by Simulated Annealing (Rgraph C Library Wrapper for R)
5/11/22,SECP,Statistical Estimation of Cluster Parameters
5/11/22,superb,Summary Plots with Adjusted Error Bars
5/11/22,transforEmotion,Sentiment Analysis for Text and Qualitative Data
5/10/22,BayesRGMM,Bayesian Robust Generalized Mixed Models for Longitudinal Data
5/10/22,Bhat,General Likelihood Exploration
5/10/22,bidask,"Efficient Estimation of Bid-Ask Spreads from Open, High, Low, and Close Prices"
5/10/22,bp,Blood Pressure Analysis in R
5/10/22,Canek,Batch Correction of Single Cell Transcriptome Data
5/10/22,circlize,Circular Visualization
5/10/22,DNMF,Discriminant Non-Negative Matrix Factorization
5/10/22,dostats,Compute Statistics Helper Functions
5/10/22,gdata,Various R Programming Tools for Data Manipulation
5/10/22,googleVis,R Interface to Google Charts
5/10/22,graDiEnt,Stochastic Quasi-Gradient Differential Evolution Optimization
5/10/22,gwrr,Fits Geographically Weighted Regression Models with Diagnostic Tools
5/10/22,HDtweedie,The Lasso for Tweedie's Compound Poisson Model Using an IRLS-BMD Algorithm
5/10/22,hybridEnsemble,"Build, Deploy and Evaluate Hybrid Ensembles"
5/10/22,independenceWeights,Estimates Weights for Confounding Control for Continuous-Valued Exposures
5/10/22,intccr,Semiparametric Competing Risks Regression under Interval Censoring
5/10/22,jpstat,Tools for Easy Use of 'e-Stat' API
5/10/22,JWileymisc,Miscellaneous Utilities and Functions
5/10/22,leaflet.extras2,Extra Functionality for 'leaflet' Package
5/10/22,lemna,Lemna Ecotox Effect Model
5/10/22,MLMusingR,Practical Multilevel Modeling
5/10/22,mvtsplot,Multivariate Time Series Plot
5/10/22,nbc4va,Bayes Classifier for Verbal Autopsy Data
5/10/22,onlineforecast,Forecast Modelling for Online Applications
5/10/22,optimx,Expanded Replacement and Extension of the 'optim' Function
5/10/22,plotwidgets,"Spider Plots, ROC Curves, Pie Charts and More for Use in Other Plots"
5/10/22,poisDoubleSamp,Confidence Intervals with Poisson Double Sampling
5/10/22,PopulationGrowthR,Linear Population Growth Scenarios
5/10/22,regport,Regression Model Processing Port
5/10/22,riot,R Inputs/Outputs for Tractography
5/10/22,rmapshaper,Client for 'mapshaper' for 'Geospatial' Operations
5/10/22,saeHB.panel,Small Area Estimation using Hierarchical Bayesian Method for Rao Yu Model
5/10/22,schoolmath,Functions and Datasets for Math Used in School
5/10/22,semTools,Useful Tools for Structural Equation Modeling
5/10/22,shinybusy,Busy Indicators and Notifications for 'Shiny' Applications
5/10/22,stagePop,Modelling the Population Dynamics of a Stage-Structured Species in Continuous Time
5/10/22,statespacer,State Space Modelling in 'R'
5/10/22,svDialogs,"'SciViews' - Standard Dialog Boxes for Windows, MacOS and Linuxes"
5/10/22,svDialogstcltk,'SciViews' - Standard Dialog Boxes using Tcl/Tk
5/10/22,svHttp,'SciViews' - HTTP Server
5/10/22,svKomodo,'SciViews' - Functions to Interface with Komodo IDE
5/10/22,svSweave,"'SciViews' - 'Sweave', 'Knitr' and R Markdown Companion Functions"
5/10/22,thriftr,Apache Thrift Client Server
5/10/22,tsModel,Time Series Modeling for Air Pollution and Health
5/10/22,VARDetect,Multiple Change Point Detection in Structural VAR Models
5/10/22,wikibooks,"Functions and Datasets of the German WikiBook ""GNU R"""
5/9/22,barcode,Render Barcode Distribution Plots
5/9/22,betaBayes,Bayesian Beta Regression
5/9/22,bolasso,Model Consistent Lasso Estimation Through the Bootstrap
5/9/22,choplump,Permutation Test for Some Positive and Many Zero Responses
5/9/22,clinPK,Clinical Pharmacokinetics Toolkit
5/9/22,ConNEcT,Contingency Measure-Based Networks for Binary Time Series
5/9/22,ContaminatedMixt,Clustering and Classification with the Contaminated Normal
5/9/22,cosmoFns,"Functions for Cosmological Distances, Times, Luminosities, Etc"
5/9/22,decisionSupport,Quantitative Support of Decision Making under Uncertainty
5/9/22,DescToolsAddIns,Interactive Functions to be Used as Shortcuts in 'RStudio'
5/9/22,DIME,Differential Identification using Mixture Ensemble
5/9/22,dLagM,Time Series Regression Models with Distributed Lag Models
5/9/22,dnapath,Differential Network Analysis using Gene Pathways
5/9/22,DoE.base,"Full Factorials, Orthogonal Arrays and Base Utilities for DoE Packages"
5/9/22,dragracer,Data Sets for RuPaul's Drag Race
5/9/22,ecd,Elliptic Lambda Distribution and Option Pricing Model
5/9/22,EL,Two-Sample Empirical Likelihood
5/9/22,ExtremalDep,Extremal Dependence Models
5/9/22,FAMT,Factor Analysis for Multiple Testing (FAMT) : Simultaneous Tests under Dependence in High-Dimensional Data
5/9/22,fdacluster,Joint Clustering and Alignment of Functional Data
5/9/22,forward,Robust Analysis using Forward Search
5/9/22,FrF2,Fractional Factorial Designs with 2-Level Factors
5/9/22,gap.datasets,Datasets for 'gap'
5/9/22,gendata,Generate and Modify Synthetic Datasets
5/9/22,GeneF,Package for Generalized F-Statistics
5/9/22,ghyp,Generalized Hyperbolic Distribution and Its Special Cases
5/9/22,gratia,Graceful 'ggplot'-Based Graphics and Other Functions for GAMs Fitted Using 'mgcv'
5/9/22,hbim,Hill/Bliss Independence Model for Combination Vaccines
5/9/22,hornpa,Horn's (1965) Test to Determine the Number of Components/Factors
5/9/22,hqmisc,Miscellaneous Convenience Functions and Dataset
5/9/22,InferenceSMR,Inference About the Standardized Mortality Ratio when Evaluating the Effect of a Screening Program on Survival
5/9/22,lisrelToR,Import Output from 'LISREL' into 'R'
5/9/22,lm.beta,Add Standardized Regression Coefficients to lm-Objects
5/9/22,locits,Test of Stationarity and Localized Autocovariance
5/9/22,LowRankQP,Low Rank Quadratic Programming
5/9/22,lpme,Nonparametric Estimation of Measurement Error Models
5/9/22,lsa,Latent Semantic Analysis
5/9/22,mazeinda,Monotonic Association on Zero-Inflated Data
5/9/22,minval,MINimal VALidation for Stoichiometric Reactions
5/9/22,mvMORPH,Multivariate Comparative Tools for Fitting Evolutionary Models to Morphometric Data
5/9/22,nestfs,Cross-Validated (Nested) Forward Selection
5/9/22,newsmap,Semi-Supervised Model for Geographical Document Classification
5/9/22,nimbleCarbon,Bayesian Analyses of Radiocarbon Dates with NIMBLE
5/9/22,pcmabc,Approximate Bayesian Computations for Phylogenetic Comparative Methods
5/9/22,plpoisson,Prediction Limits for Poisson Distribution
5/9/22,primate,Tools and Methods for Primatological Data Science
5/9/22,quantdr,Dimension Reduction Techniques for Conditional Quantiles
5/9/22,randomLCA,Random Effects Latent Class Analysis
5/9/22,rateratio.test,Exact Rate Ratio Test
5/9/22,raters,A Modification of Fleiss' Kappa in Case of Nominal and Ordinal Variables
5/9/22,revdbayes,Ratio-of-Uniforms Sampling for Bayesian Extreme Value Analysis
5/9/22,rfigshare,An R Interface to 'figshare'
5/9/22,rgabriel,Gabriel Multiple Comparison Test and Plot the Confidence Interval on Barplot
5/9/22,rgdal,Bindings for the 'Geospatial' Data Abstraction Library
5/9/22,RIFS,Random Iterated Function System
5/9/22,rminqa,Derivative-Free Optimization in R using C++
5/9/22,RMM,Revenue Management Modeling
5/9/22,robmixglm,Robust Generalized Linear Models (GLM) using Mixtures
5/9/22,Rphylopars,Phylogenetic Comparative Tools for Missing Data and Within-Species Variation
5/9/22,saeHB.twofold,Hierarchical Bayes Twofold Subarea Level Model SAE
5/9/22,smcure,Fit Semiparametric Mixture Cure Models
5/9/22,spldv,Spatial Models for Limited Dependent Variables
5/9/22,StratigrapheR,Integrated Stratigraphy
5/9/22,svSocket,'SciViews' - Socket Server
5/9/22,tdcmStan,Automating the Creation of Stan Code for TDCMs
5/9/22,Voss,Generic Voss Algorithm (Random Sequential Additions)
5/9/22,YaleToolkit,Data Exploration Tools from Yale University
5/9/22,ZINARp,Simulate INAR/ZINAR(p) Models and Estimate Its Parameters
5/8/22,analogsea,Interface to 'Digital Ocean'
5/8/22,astroFns,"Astronomy: Time and Position Functions, Misc. Utilities"
5/8/22,BayesNetBP,Bayesian Network Belief Propagation
5/8/22,NPHMC,Sample Size Calculation for the Proportional Hazards Mixture Cure Model
5/8/22,rly,Tools to Create Formal Language Parser
5/8/22,SMR,Externally Studentized Midrange Distribution
5/8/22,tensorTS,Factor and Autoregressive Models for Tensor Time Series
5/7/22,bayescount,Power Calculations and Bayesian Analysis of Count Distributions and FECRT Data using MCMC
5/7/22,faviconPlease,Find the URL to the 'Favicon' for a Website
5/7/22,GPFDA,Gaussian Process for Functional Data Analysis
5/7/22,HardyWeinberg,Statistical Tests and Graphics for Hardy-Weinberg Equilibrium
5/7/22,hdpGLM,Hierarchical Dirichlet Process Generalized Linear Models
5/7/22,ncf,Spatial Covariance Functions
5/7/22,pointRes,Analyzing Pointer Years and Components of Resilience
5/7/22,poisson.glm.mix,Fit High Dimensional Mixtures of Poisson GLMs
5/7/22,RMKdiscrete,Sundry Discrete Probability Distributions
5/7/22,SynchWave,Synchrosqueezed Wavelet Transform
5/7/22,tscopula,Time Series Copula Models
5/6/22,archive,Multi-Format Archive and Compression Support
5/6/22,aspect,A General Framework for Multivariate Analysis with Optimal Scaling
5/6/22,datarobot,'DataRobot' Predictive Modeling API
5/6/22,ff,Memory-Efficient Storage of Large Data on Disk and Fast Access Functions
5/6/22,gamboostMSM,Boosting Multistate Models
5/6/22,INSPECTumours,IN-vivo reSPonsE Classification of Tumours
5/6/22,JFE,Tools and GUI for Analyzing Time Series Data of Just Finance and Econometrics
5/6/22,m61r,Package About Data Manipulation in Pure Base R
5/6/22,mvMonitoring,Multi-State Adaptive Dynamic Principal Component Analysis for Multivariate Process Monitoring
5/6/22,neatStats,Neat and Painless Statistical Reporting
5/6/22,nephro,Utilities for Nephrology
5/6/22,PermAlgo,Permutational Algorithm to Simulate Survival Data
5/6/22,PhilipsHue,R Interface to the Philips Hue API
5/6/22,plumbr,Mutable and Dynamic Data Models
5/6/22,prome,Patient-Reported Outcome Data Analysis with Stan
5/6/22,psychotree,Recursive Partitioning Based on Psychometric Models
5/6/22,rdiversity,Measurement and Partitioning of Similarity-Sensitive Biodiversity
5/6/22,RProtoBuf,R Interface to the 'Protocol Buffers' 'API' (Version 2 or 3)
5/6/22,shinyAce,Ace Editor Bindings for Shiny
5/6/22,simMSM,Simulation of Event Histories for Multi-State Models
5/6/22,smacof,Multidimensional Scaling
5/6/22,smurf,Sparse Multi-Type Regularized Feature Modeling
5/6/22,spatsurv,Bayesian Spatial Survival Analysis with Parametric Proportional Hazards Models
5/6/22,spm,Spatial Predictive Modeling
5/6/22,steepness,Testing Steepness of Dominance Hierarchies
5/6/22,tvmComp,Discounting and Compounding Calculations for Various Scenarios
5/5/22,BartMixVs,Variable Selection Using Bayesian Additive Regression Trees
5/5/22,baytrends,Long Term Water Quality Trend Analysis
5/5/22,Benchmarking,Benchmark and Frontier Analysis Using DEA and SFA
5/5/22,BIGL,Biochemically Intuitive Generalized Loewe Model
5/5/22,biosensors.usc,Distributional Data Analysis Techniques for Biosensor Data
5/5/22,bivariatemaps,Creates Bivariate Maps
5/5/22,bluebike,Blue Bike Comprehensive Data
5/5/22,bs4Dash,A 'Bootstrap 4' Version of 'shinydashboard'
5/5/22,cml,Conditional Manifold Learning
5/5/22,DCL,Claims Reserving under the Double Chain Ladder Model
5/5/22,dymo,Dynamic Mode Decomposition for Multivariate Time Feature Prediction
5/5/22,ecodist,Dissimilarity-Based Functions for Ecological Analysis
5/5/22,fastGHQuad,Fast 'Rcpp' Implementation of Gauss-Hermite Quadrature
5/5/22,FCVAR,Estimation and Inference for the Fractionally Cointegrated VAR
5/5/22,flightsbr,Download Flight and Airport Data from Brazil
5/5/22,GIGrvg,Random Variate Generator for the GIG Distribution
5/5/22,hierfstat,Estimation and Tests of Hierarchical F-Statistics
5/5/22,ipfp,Fast Implementation of the Iterative Proportional Fitting Procedure in C
5/5/22,mda,Mixture and Flexible Discriminant Analysis
5/5/22,memo,In-Memory Caching of Repeated Computations (Memoization)
5/5/22,mgwrsar,GWR and MGWR with Spatial Autocorrelation
5/5/22,missSOM,Self-Organizing Maps with Built-in Missing Data Imputation
5/5/22,modeLLtest,Compare Models with Cross-Validated Log-Likelihood
5/5/22,multisite.accuracy,Estimation of Accuracy in Multisite Machine-Learning Models
5/5/22,networkDynamic,Dynamic Extensions for Network Objects
5/5/22,QuantileGH,Quantile Least Mahalanobis Distance Estimator for Tukey g-&-h Mixture
5/5/22,r2dii.analysis,Measure Climate Scenario Alignment of Corporate Loans
5/5/22,r2dii.plot,Visualize the Climate Scenario Alignment of a Financial Portfolio
5/5/22,RHawkes,Renewal Hawkes Process
5/5/22,sfaR,Stochastic Frontier Analysis using R
5/5/22,stepR,Multiscale Change-Point Inference
5/5/22,topmodel,Implementation of the Hydrological Model TOPMODEL in R
5/5/22,trimr,An Implementation of Common Response Time Trimming Methods
5/5/22,ZillowR,R Interface to Zillow Real Estate and Mortgage Data API
5/4/22,colorSpec,Color Calculations with Emphasis on Spectral Data
5/4/22,countrycode,Convert Country Names and Country Codes
5/4/22,datasauRus,Datasets from the Datasaurus Dozen
5/4/22,dendroTools,Linear and Nonlinear Methods for Analyzing Daily and Monthly Dendroclimatological Data
5/4/22,epocakir,Clinical Coding of Patients with Kidney Disease
5/4/22,extRemes,Extreme Value Analysis
5/4/22,fdatest,Interval Testing Procedure for Functional Data
5/4/22,ggsurvey,Simplifying 'ggplot2' for Survey Data
5/4/22,lfe,Linear Group Fixed Effects
5/4/22,lidR,Airborne LiDAR Data Manipulation and Visualization for Forestry Applications
5/4/22,lmDiallel,Linear Fixed Effects Models for Diallel Crosses
5/4/22,partialised,Partialised Functions
5/4/22,pec,Prediction Error Curves for Risk Prediction Models in Survival Analysis
5/4/22,Rcapture,Loglinear Models for Capture-Recapture Experiments
5/4/22,RcmdrPlugin.UCA,UCA Rcmdr Plug-in
5/4/22,Rlab,Functions and Datasets Required for ST370 Class
5/4/22,rollRegres,Fast Rolling and Expanding Window Linear Regression
5/4/22,simDNAmixtures,Simulate Forensic DNA Mixtures
5/4/22,superMICE,SuperLearner Method for MICE
5/4/22,sweater,Speedy Word Embedding Association Test and Extras Using R
5/3/22,accessrmd,Improving the Accessibility of 'rmarkdown' Documents
5/3/22,arthistory,Art History Textbook Data
5/3/22,biocompute,Create and Manipulate BioCompute Objects
5/3/22,bssm,Bayesian Inference of Non-Linear and Non-Gaussian State Space Models
5/3/22,caroline,"A Collection of Database, Data Structure, Visualization, and Utility Functions for R"
5/3/22,changer,Change R Package Name
5/3/22,codingMatrices,Alternative Factor Coding Matrices for Linear Model Formulae
5/3/22,CorMID,Correct Mass Isotopologue Distribution Vectors
5/3/22,dfmta,Phase I/II Adaptive Dose-Finding Design for MTA
5/3/22,figpatch,Easily Arrange External Figures with Patchwork Alongside 'ggplot2' Figures
5/3/22,geomapdata,Data for Topographic and Geologic Mapping
5/3/22,ggplot2,Create Elegant Data Visualisations Using the Grammar of Graphics
5/3/22,gmGeostats,Geostatistics for Compositional Analysis
5/3/22,GPCMlasso,Differential Item Functioning in Generalized Partial Credit Models
5/3/22,InspectChangepoint,High-Dimensional Changepoint Estimation via Sparse Projection
5/3/22,integIRTy,Integrating Multiple Modalities of High Throughput Assays Using Item Response Theory
5/3/22,jpgrid,Functions for the Grid Square Codes in Japan
5/3/22,LabourMarketAreas,"Identification, Tuning, Visualisation and Analysis of Labour Market Areas"
5/3/22,lpdensity,Local Polynomial Density Estimation and Inference
5/3/22,mexhaz,Mixed Effect Excess Hazard Models
5/3/22,mixAR,Mixture Autoregressive Models
5/3/22,oompaData,Data to Illustrate OOMPA Algorithms
5/3/22,PCMRS,Model Response Styles in Partial Credit Models
5/3/22,pixelclasser,Classifies Image Pixels by Colour
5/3/22,PlasmaMutationDetector2,Tumor Mutation Detection in Plasma using Barcoding
5/3/22,Polychrome,Qualitative Palettes with Many Colors
5/3/22,SIBERG,Systematic Identification of Bimodally Expressed Genes Using RNAseq Data
5/3/22,simhelpers,Helper Functions for Simulation Studies
5/3/22,svyweight,Quick and Flexible Survey Weighting
5/3/22,TailRank,The Tail-Rank Statistic
5/3/22,tidycwl,Tidy Common Workflow Language Tools and Workflows
5/3/22,UpSetVP,An Alternative Visualization of VPA and HP in Canonical Analysis
5/2/22,BACprior,Choice of Omega in the BAC Algorithm
5/2/22,bigmemory,Manage Massive Matrices with Shared Memory and Memory-Mapped Files
5/2/22,binom,Binomial Confidence Intervals for Several Parameterizations
5/2/22,BIOdry,Multilevel Modeling of Dendroclimatical Fluctuations
5/2/22,colorRamps,Builds Color Tables
5/2/22,corrsieve,Software for Summarising and Evaluating STRUCTURE Output
5/2/22,crunch,Crunch.io Data Tools
5/2/22,CVThresh,Level-Dependent Cross-Validation Thresholding
5/2/22,dichromat,Color Schemes for Dichromats
5/2/22,ecespa,Functions for Spatial Point Pattern Analysis
5/2/22,endorse,Bayesian Measurement Models for Analyzing Endorsement Experiments
5/2/22,FD,"Measuring Functional Diversity (FD) from Multiple Traits, and Other Tools for Functional Ecology"
5/2/22,gastempt,Analyzing Gastric Emptying from MRI or Scintigraphy
5/2/22,glba,General Linear Ballistic Accumulator Models
5/2/22,IMak,Item Maker
5/2/22,intRvals,Analysis of Time-Ordered Event Data with Missed Observations
5/2/22,ir,Functions to Handle and Preprocess Infrared Spectra
5/2/22,LearnPCA,"Functions, Data Sets and Vignettes to Aid in Learning Principal Components Analysis (PCA)"
5/2/22,lmeSplines,Add Smoothing Spline Modelling Capability to 'nlme'
5/2/22,mcclust,Process an MCMC Sample of Clusterings
5/2/22,moments,"Moments, Cumulants, Skewness, Kurtosis and Related Tests"
5/2/22,mountainplot,"Mountain Plots, Folded Empirical Cumulative Distribution Plots"
5/2/22,NbClust,Determining the Best Number of Clusters in a Data Set
5/2/22,nlmeU,Datasets and Utility Functions Enhancing Functionality of 'nlme' Package
5/2/22,nls2,Non-Linear Regression with Brute Force
5/2/22,objectProperties,A Factory of Self-Describing Properties
5/2/22,pdist,Partitioned Distance Function
5/2/22,plsRbeta,Partial Least Squares Regression for Beta Regression Models
5/2/22,plsRglm,Partial Least Squares Regression for Generalized Linear Models
5/2/22,PolynomF,Polynomials in R
5/2/22,poolfstat,Computing f-Statistics and Building Admixture Graphs Based on Allele Count or Pool-Seq Read Count Data
5/2/22,PosRatioDist,Quotient of Random Variables Conditioned to the Positive Quadrant
5/2/22,pspearman,Spearman's Rank Correlation Test
5/2/22,qdapRegex,"Regular Expression Removal, Extraction, and Replacement Tools"
5/2/22,replicateBE,Average Bioequivalence with Expanding Limits (ABEL)
5/2/22,RISCA,Causal Inference and Prediction in Cohort-Based Analyses
5/2/22,Rmisc,Ryan Miscellaneous
5/2/22,RMTL,Regularized Multi-Task Learning
5/2/22,RPostgres,Rcpp Interface to PostgreSQL
5/2/22,seas,"Seasonal Analysis and Graphics, Especially for Climatology"
5/2/22,soma,General-Purpose Optimisation with the Self-Organising Migrating Algorithm
5/2/22,SPQR,Semi-Parametric Quantile Regression
5/2/22,WaveSampling,Weakly Associated Vectors (WAVE) Sampling
5/1/22,BatchGetSymbols,Downloads and Organizes Financial Data for Multiple Tickers
5/1/22,belg,Boltzmann Entropy of a Landscape Gradient
5/1/22,chemmodlab,A Cheminformatics Modeling Laboratory for Fitting and Assessing Machine Learning Models
5/1/22,conjurer,A Parametric Method for Generating Synthetic Data
5/1/22,crplyr,A 'dplyr' Interface for Crunch
5/1/22,decomposedPSF,Time Series Prediction with PSF and Decomposition Methods (EMD and EEMD)
5/1/22,DiffCorr,Analyzing and Visualizing Differential Correlation Networks in Biological Data
5/1/22,eBsc,"""Empirical Bayes Smoothing Splines with Correlated Errors"""
5/1/22,fad,Factor Analysis for Data
5/1/22,GGMselect,Gaussian Graphs Models Selection
5/1/22,gpindex,Generalized Price and Quantity Indexes
5/1/22,gretlR,A Seamless Integration of 'Gretl' and 'R'
5/1/22,iplots,iPlots - Interactive Graphics for R
5/1/22,krige,Geospatial Kriging with Metropolis Sampling
5/1/22,LTPDvar,LTPD and AOQL Plans for Acceptance Sampling Inspection by Variables
5/1/22,maddison,The Maddison Project Database
5/1/22,MAT,Multidimensional Adaptive Testing
5/1/22,MRTSampleSizeBinary,Sample Size Calculator for MRT with Binary Outcomes
5/1/22,MSQC,Multivariate Statistical Quality Control
5/1/22,PSF,Forecasting of Univariate Time Series Using the Pattern Sequence-Based Forecasting (PSF) Algorithm
5/1/22,rags2ridges,Ridge Estimation of Precision Matrices from High-Dimensional Data
5/1/22,rsq,R-Squared and Related Measures
5/1/22,SMME,Soft Maximin Estimation for Large Scale Heterogeneous Data
5/1/22,tidyUSDA,A Minimal Tool Set for Gathering USDA Quick Stat Data for Analysis and Visualization
5/1/22,WindCurves,Tool to Fit Wind Turbine Power Curves
4/30/22,DynareR,A Seamless Integration of 'R' and 'Dynare'
4/30/22,piar,Price Index Aggregation
4/29/22,afex,Analysis of Factorial Experiments
4/29/22,BRISC,Fast Inference for Large Spatial Datasets using BRISC
4/29/22,chkptstanr,Checkpoint MCMC Sampling with 'Stan'
4/29/22,condSURV,Estimation of the Conditional Survival Function for Ordered Multivariate Failure Time Data
4/29/22,covsim,"VITA, IG and PLSIM Simulation for Given Covariance and Marginals"
4/29/22,glmmPen,High Dimensional Penalized Generalized Linear Mixed Models (pGLMM)
4/29/22,gnm,Generalized Nonlinear Models
4/29/22,GOCompare,Comprehensive GO Terms Comparison Between Species
4/29/22,gogarch,Generalized Orthogonal GARCH (GO-GARCH) Models
4/29/22,haarfisz,Software to Perform Haar Fisz Transforms
4/29/22,kofdata,Get Data from the 'KOF Datenservice' API
4/29/22,LinCal,Static Univariate Frequentist and Bayesian Linear Calibration
4/29/22,lmeresampler,Bootstrap Methods for Nested Linear Mixed-Effects Models
4/29/22,lmfor,Functions for Forest Biometrics
4/29/22,lowpassFilter,Lowpass Filtering
4/29/22,metabolomicsR,Tools for Metabolomics Data
4/29/22,midasml,Estimation and Prediction Methods for High-Dimensional Mixed Frequency Time Series Data
4/29/22,newscatcheR,Programmatically Collect Normalized News from (Almost) Any Website
4/29/22,numberofalleles,Compute the Probability Distribution of the Number of Alleles in a DNA Mixture
4/29/22,odr,Optimal Design and Statistical Power for Multilevel Experiments
4/29/22,PamBinaries,Read and Process 'Pamguard' Binary Data
4/29/22,predictoR,Predictive Data Analysis System
4/29/22,QUALYPSO,Partitioning Uncertainty Components of an Incomplete Ensemble of Climate Projections
4/29/22,quantmod,Quantitative Financial Modelling Framework
4/29/22,rbounds,Perform Rosenbaum Bounds Sensitivity Tests for Matched and Unmatched Data
4/29/22,Rpadrino,Interact with the 'PADRINO' IPM Database
4/29/22,semicmprskcoxmsm,Use Inverse Probability Weighting to Estimate Treatment Effect for Semi Competing Risks Data
4/29/22,smile,"Spatial Misalignment: Interpolation, Linkage, and Estimation"
4/29/22,SPOUSE,Scatter Plots Over-Viewed Using Summary Ellipses
4/29/22,stacomirtools,Connection Class for Package stacomiR
4/29/22,tablet,Tabulate Descriptive Statistics in Multiple Formats
4/29/22,zmisc,Vector Look-Ups and Safer Sampling
4/28/22,AsymmetricSORDs,Asymmetric Second Order Rotatable Designs (AsymmetricSORDs)
4/28/22,Bestie,Bayesian Estimation of Intervention Effects
4/28/22,compicc,Calculate the Confidence Interval for the Difference of ICCs
4/28/22,DATAstudio,The Research Data Warehouse of Miguel de Carvalho
4/28/22,diffeRenTES,Computation of TES-Based Cell Differentiation Trees
4/28/22,dQTG.seq,"A BSA Software for Detecting All Types of QTLs in BC, DH, RIL and F2"
4/28/22,econet,Estimation of Parameter-Dependent Network Centrality Measures
4/28/22,EML,Read and Write Ecological Metadata Language Files
4/28/22,guix.install,Install R Packages with GNU Guix
